StudentID,StudyHours,Attendance,PreviousScore,AssignmentScore,InternalScore,SleepHours,InternetUsageHours,Extracurricular,FamilyBackground,FinalScore,PerformanceCategory
309,6.1,95.1,86.3,56.0,78.9,8.1,6.1,Yes,Postgraduate,81.5,Good
310,4.6,69.3,77.1,85.7,83.5,6.3,3.5,Yes,High School,82.3,Good
311,4.6,77.8,69.6,69.2,67.8,6.9,1.7,Yes,Postgraduate,70.7,Average
312,7.2,74.7,82.3,76.8,95.3,6.2,4.2,Yes,High School,89.2,Good
313,6.7,97.4,90.9,94.3,75.0,9.1,6.6,Yes,High School,96.1,Excellent
314,6.6,82.4,78.4,85.8,78.5,6.6,2.0,No,High School,88.4,Good
315,7.6,92.4,70.2,71.8,80.7,9.2,3.0,Yes,High School,80.6,Good
316,5.0,62.2,50.3,64.3,77.5,8.0,4.1,Yes,High School,64.9,Average
317,6.4,83.2,54.0,49.2,82.9,7.6,3.4,No,High School,68.6,Average
318,4.4,90.7,65.4,66.4,64.0,7.4,2.0,Yes,Graduate,73.6,Average
319,5.6,81.0,60.9,72.5,64.7,7.5,5.2,No,High School,71.3,Average
320,4.7,92.8,67.2,63.2,57.7,4.7,7.0,No,High School,56.6,Needs Improvement
321,5.2,73.8,70.8,73.4,77.7,6.7,3.8,Yes,Graduate,73.8,Average
322,6.2,96.9,77.9,75.9,82.1,8.0,2.1,No,High School,73.2,Average
323,3.4,100.0,68.9,72.3,78.0,6.9,1.2,Yes,High School,81.9,Good
324,9.2,75.6,77.3,67.2,93.8,5.3,3.9,No,High School,81.3,Good
325,3.0,74.7,71.0,77.0,71.9,6.9,5.2,Yes,Graduate,66.7,Average
326,2.6,97.4,40.4,80.3,80.7,9.0,4.2,No,Postgraduate,63.0,Average
327,7.3,99.0,55.9,61.9,57.8,8.5,3.5,No,High School,78.9,Good
328,6.6,73.7,67.8,91.9,67.0,6.9,2.6,Yes,Graduate,64.1,Average
329,6.2,75.0,51.9,73.8,81.0,8.1,1.9,Yes,High School,75.8,Good
330,6.3,76.6,79.0,75.2,83.0,6.6,4.8,No,High School,76.2,Good
331,5.0,63.9,93.0,83.5,68.2,5.0,4.9,No,Graduate,69.3,Average
332,3.2,69.0,88.3,77.8,71.1,5.9,1.2,Yes,High School,81.8,Good
333,5.2,68.0,66.8,86.4,52.3,8.9,5.9,No,High School,62.5,Average
334,3.6,70.8,92.4,78.4,67.4,6.7,4.4,Yes,Graduate,76.5,Good
335,7.0,79.6,72.2,67.7,83.6,6.7,5.6,Yes,Graduate,79.3,Good
336,4.7,82.8,64.9,79.3,79.5,6.6,1.5,Yes,Graduate,81.8,Good
337,3.3,98.6,60.8,61.3,78.5,9.3,1.5,Yes,Graduate,70.1,Average
338,4.4,68.0,65.5,76.3,72.6,9.0,3.3,No,Postgraduate,66.2,Average
339,5.8,91.8,64.2,74.6,72.1,9.7,4.3,Yes,High School,83.4,Good
340,3.9,77.4,72.6,72.5,63.4,6.8,6.2,No,Graduate,65.9,Average
341,3.4,79.4,72.4,73.5,81.1,7.4,4.6,Yes,Graduate,63.0,Average
342,5.5,88.1,70.0,52.4,77.5,5.2,3.1,Yes,Graduate,68.9,Average
343,5.5,66.5,76.6,68.4,78.4,8.8,2.0,Yes,High School,80.3,Good
344,4.0,84.6,87.9,76.1,65.2,5.6,5.3,Yes,Graduate,75.4,Good
345,4.1,82.0,84.2,76.9,44.0,7.3,2.1,Yes,High School,67.9,Average
346,5.5,85.9,47.7,62.7,86.3,5.7,5.9,Yes,High School,52.1,Needs Improvement
347,2.1,83.5,31.7,90.2,65.8,6.3,3.1,Yes,Graduate,60.2,Average
348,2.2,100.0,84.0,64.6,60.8,6.0,5.9,Yes,High School,59.0,Needs Improvement
349,3.6,72.3,49.5,86.6,81.0,6.3,4.5,Yes,High School,55.2,Needs Improvement
350,4.6,73.6,66.6,80.1,66.9,6.4,3.3,Yes,Postgraduate,55.6,Needs Improvement
351,5.6,72.5,52.4,67.2,85.8,6.3,2.7,No,High School,73.2,Average
352,8.0,73.3,43.0,96.3,80.0,8.0,3.0,No,Graduate,78.2,Good
353,6.7,72.4,78.1,60.7,80.9,5.7,4.1,Yes,Graduate,74.9,Average
354,4.7,94.3,81.4,86.0,54.2,7.3,3.6,Yes,Postgraduate,82.6,Good
355,5.0,97.0,61.4,87.0,87.8,8.5,2.6,Yes,Graduate,84.2,Good
356,3.0,73.2,31.1,67.0,75.4,6.4,3.3,No,Graduate,62.8,Average
357,5.0,70.0,61.8,91.7,67.2,6.1,3.6,Yes,Graduate,63.3,Average
358,4.4,85.7,75.9,72.0,73.9,6.7,0.5,Yes,Graduate,76.6,Good
359,5.6,73.4,47.8,78.5,48.9,8.4,4.2,Yes,Postgraduate,57.4,Needs Improvement
360,3.3,87.6,72.8,78.1,77.3,7.2,2.0,Yes,Graduate,73.1,Average
361,6.0,82.4,69.8,73.4,58.6,6.4,1.8,Yes,High School,73.0,Average
362,8.1,61.8,78.7,84.7,54.4,7.6,1.0,No,High School,83.0,Good
363,4.8,98.6,71.8,84.5,52.2,5.7,0.8,Yes,High School,74.6,Average
364,5.8,100.0,55.4,54.0,86.5,7.8,1.5,No,Graduate,78.3,Good
365,6.4,72.6,87.9,90.7,63.8,7.5,2.4,Yes,Postgraduate,86.2,Good
366,4.2,75.3,67.6,55.1,91.9,6.6,6.4,Yes,Graduate,78.5,Good
367,5.4,83.4,69.6,87.4,65.0,6.0,2.7,No,Postgraduate,71.3,Average
368,5.0,84.0,56.0,88.5,49.8,5.9,3.8,Yes,High School,61.8,Average
369,5.2,87.9,63.4,61.9,57.5,7.6,4.1,No,High School,67.8,Average
370,3.5,100.0,56.7,70.1,88.1,8.5,3.7,Yes,High School,68.9,Average
371,5.0,77.9,67.4,61.7,70.0,6.2,3.4,Yes,High School,76.7,Good
372,6.0,70.4,95.7,72.4,64.9,7.6,1.7,No,High School,78.2,Good
373,7.9,63.4,49.4,71.3,74.1,4.5,5.7,Yes,High School,65.1,Average
374,6.9,71.2,45.8,84.4,78.5,6.3,6.2,No,High School,65.7,Average
375,9.3,79.6,92.1,90.7,86.5,7.0,1.0,Yes,Graduate,100.0,Excellent
376,3.5,100.0,66.9,91.7,90.8,5.9,2.0,No,High School,75.1,Good
377,6.7,73.8,60.0,68.3,67.3,5.9,3.1,Yes,High School,68.3,Average
378,5.4,82.7,85.6,72.5,54.8,6.2,2.1,Yes,High School,83.5,Good
379,9.4,79.8,60.9,54.8,66.6,7.4,4.3,No,High School,71.3,Average
380,3.4,94.3,97.4,65.3,75.4,6.8,2.4,No,High School,76.3,Good
381,3.3,100.0,80.2,86.6,59.5,4.3,6.7,No,Graduate,68.4,Average
382,3.8,73.6,62.7,94.4,59.6,4.5,5.3,No,High School,53.1,Needs Improvement
383,1.0,74.1,100.0,60.2,76.5,6.3,3.8,No,Graduate,67.9,Average
384,3.9,92.5,60.9,67.9,71.4,7.5,5.0,Yes,High School,62.8,Average
385,3.5,88.2,81.1,74.7,72.4,4.0,5.2,Yes,Graduate,72.3,Average
386,5.3,100.0,74.5,78.4,62.1,6.4,2.7,Yes,Graduate,71.8,Average
387,5.7,87.0,89.5,65.3,69.0,6.4,2.3,Yes,High School,82.8,Good
388,8.8,75.7,93.4,80.1,60.0,8.7,3.6,Yes,High School,93.8,Excellent
389,6.9,87.1,70.5,69.3,83.6,6.5,4.8,Yes,Graduate,83.1,Good
390,3.8,93.3,58.7,74.8,85.5,7.5,3.7,Yes,High School,73.7,Average
391,3.2,89.8,76.9,81.6,48.0,7.2,1.1,No,Graduate,67.5,Average
392,6.0,86.1,59.8,75.1,59.9,4.4,2.3,Yes,Graduate,66.9,Average
393,2.4,92.8,100.0,69.8,52.5,7.9,3.4,Yes,High School,79.9,Good
394,8.7,94.0,72.0,73.7,63.5,7.3,3.4,Yes,High School,80.0,Good
395,7.4,96.6,64.5,73.9,70.9,7.6,6.5,No,Graduate,70.3,Average
396,4.1,87.8,72.8,70.6,53.2,10.0,1.4,No,Graduate,75.3,Good
397,1.6,78.0,49.8,71.9,60.0,4.5,4.3,No,Graduate,46.9,Needs Improvement
398,7.7,81.8,55.4,94.2,58.9,9.1,5.7,Yes,Graduate,72.5,Average
399,4.8,94.5,88.0,81.7,74.7,6.7,6.9,Yes,High School,69.7,Average
400,7.5,70.2,60.1,71.5,72.9,7.3,2.9,Yes,High School,74.0,Average
401,1.8,84.4,54.3,83.4,62.6,6.9,4.2,Yes,Graduate,60.2,Average
402,3.8,75.3,78.0,71.0,74.3,6.5,4.4,Yes,High School,71.3,Average
403,5.0,80.3,87.8,89.1,64.9,6.3,3.8,Yes,High School,82.2,Good
404,5.1,95.3,80.8,79.4,68.5,7.4,3.4,Yes,Graduate,81.6,Good
405,4.1,82.3,84.9,73.7,93.8,5.2,4.2,No,Postgraduate,73.5,Average
406,6.2,80.6,58.6,80.4,89.4,7.9,0.5,No,High School,79.1,Good
407,2.9,63.7,48.7,56.1,55.1,6.5,4.5,Yes,Graduate,55.2,Needs Improvement
408,4.7,89.0,92.5,61.5,82.8,5.6,3.7,Yes,Graduate,84.2,Good
409,5.2,87.7,65.2,60.7,82.5,6.5,3.2,Yes,High School,74.1,Average
410,6.0,100.0,66.2,76.7,57.1,8.5,6.6,Yes,High School,71.3,Average
411,6.4,76.3,89.9,95.8,82.6,6.4,2.5,No,Graduate,79.9,Good
412,2.8,82.6,78.3,100.0,92.0,7.4,2.9,Yes,Graduate,71.8,Average
413,1.9,83.0,76.8,82.7,57.4,6.1,6.5,No,High School,63.3,Average
414,7.6,98.9,100.0,81.0,60.1,7.9,2.3,Yes,High School,93.5,Excellent
415,5.7,78.9,60.3,53.4,85.2,7.8,2.7,No,Postgraduate,74.5,Average
416,3.5,83.3,83.9,68.5,75.5,9.2,3.3,Yes,High School,75.5,Good
417,8.1,87.3,70.9,65.5,79.2,6.8,4.8,No,Graduate,85.8,Good
418,5.2,82.2,74.0,67.5,76.4,7.8,3.8,Yes,High School,73.2,Average
419,7.4,74.6,92.9,73.0,77.1,7.1,1.6,No,High School,89.8,Good
420,5.1,82.3,77.6,69.3,54.8,8.6,2.7,Yes,High School,74.1,Average
421,9.1,92.9,78.1,51.2,85.6,6.1,2.6,Yes,Graduate,83.4,Good
422,8.5,67.7,86.1,84.0,87.2,7.9,3.4,No,High School,91.0,Excellent
423,4.5,81.6,64.5,62.1,69.0,6.8,4.1,No,High School,67.6,Average
424,6.9,71.6,57.4,77.9,71.4,6.9,4.1,No,High School,73.3,Average
425,6.3,94.3,54.3,99.9,52.1,7.1,0.8,No,High School,75.5,Good
426,7.7,61.7,40.5,64.0,78.7,7.3,5.1,No,Graduate,66.6,Average
427,3.1,73.3,100.0,44.6,79.4,6.9,3.9,Yes,High School,83.4,Good
428,6.4,84.5,53.5,71.6,71.2,7.3,5.6,Yes,High School,76.7,Good
429,7.1,98.8,66.7,88.2,86.6,8.9,4.2,Yes,High School,90.5,Excellent
430,1.5,79.2,65.8,98.5,67.7,8.2,5.2,No,High School,64.4,Average
431,2.6,73.3,74.6,60.2,79.3,8.0,4.2,Yes,High School,72.5,Average
432,1.0,100.0,82.2,81.0,58.7,6.5,5.5,Yes,High School,67.3,Average
433,4.5,62.6,82.9,69.4,71.7,5.9,4.3,Yes,Postgraduate,70.1,Average
434,6.4,53.6,61.3,73.7,69.7,8.1,3.4,No,Graduate,68.5,Average
435,8.0,85.3,67.5,100.0,74.9,8.1,6.9,Yes,High School,82.7,Good
436,5.1,74.0,74.2,57.0,67.2,8.8,4.8,Yes,Graduate,55.2,Needs Improvement
437,8.3,67.7,66.3,78.0,70.3,6.3,4.4,Yes,High School,78.3,Good
438,2.2,88.5,94.1,80.6,82.7,6.7,1.6,Yes,Postgraduate,75.8,Good
439,1.6,82.9,77.4,88.0,66.3,5.0,1.6,Yes,High School,75.4,Good
440,4.9,73.2,81.0,76.2,51.1,6.5,3.9,No,Postgraduate,68.0,Average
441,5.8,64.6,79.9,78.7,94.7,8.2,3.7,No,High School,74.1,Average
442,4.9,90.5,87.6,70.3,90.0,6.4,2.6,No,Graduate,79.9,Good
443,1.0,87.8,72.7,78.2,55.2,7.8,3.7,Yes,Postgraduate,57.7,Needs Improvement
444,4.8,78.8,50.5,70.9,81.0,6.8,5.9,No,Graduate,66.8,Average
445,2.4,100.0,76.0,82.5,65.5,7.4,4.5,Yes,Graduate,71.7,Average
446,6.3,67.2,60.2,70.6,75.4,5.6,1.8,Yes,High School,77.4,Good
447,5.7,61.7,62.1,79.5,75.8,7.1,3.3,No,Graduate,66.5,Average
448,3.1,71.7,78.8,74.6,69.0,4.0,2.3,Yes,Graduate,66.8,Average
449,4.0,79.5,88.6,88.5,61.8,6.8,2.9,Yes,High School,68.8,Average
450,2.9,82.9,70.3,74.4,63.0,5.0,2.9,No,High School,66.4,Average
451,4.9,77.1,74.6,53.7,60.1,8.4,2.8,Yes,High School,73.3,Average
452,6.9,84.2,95.5,90.1,61.2,7.9,1.6,No,High School,88.7,Good
453,3.0,65.0,73.6,64.1,71.1,7.6,3.3,Yes,High School,66.4,Average
454,6.0,97.3,100.0,67.2,62.7,8.8,2.7,No,High School,85.8,Good
455,3.9,79.0,78.5,67.9,80.9,5.9,0.5,Yes,Graduate,83.0,Good
456,3.4,93.4,43.6,91.5,91.3,9.1,6.6,Yes,High School,68.9,Average
457,4.8,84.1,81.3,49.4,64.5,8.1,5.1,No,High School,69.2,Average
458,2.9,85.5,75.7,100.0,75.1,6.7,2.9,Yes,High School,69.5,Average
459,3.9,86.8,89.3,87.7,78.5,8.4,3.5,Yes,Postgraduate,76.8,Good
460,2.6,85.4,80.1,77.7,78.1,5.7,1.7,Yes,High School,72.9,Average
461,8.9,87.7,67.9,74.3,73.0,6.0,6.0,Yes,Graduate,85.6,Good
462,5.1,95.9,51.6,78.4,81.7,6.3,6.3,Yes,High School,68.5,Average
463,3.6,82.4,66.9,81.3,78.3,6.4,3.7,Yes,High School,69.4,Average
464,5.4,88.5,57.2,82.7,55.9,5.7,5.0,No,High School,63.2,Average
465,4.8,78.9,61.3,81.7,83.3,8.5,3.8,Yes,Graduate,72.6,Average
466,4.6,97.3,78.8,76.1,83.5,6.7,1.5,Yes,High School,82.4,Good
467,6.2,71.9,95.0,72.6,62.1,7.4,2.9,Yes,High School,72.9,Average
468,6.5,100.0,75.9,73.2,72.5,6.3,3.7,Yes,Graduate,86.5,Good
469,3.9,79.5,52.1,72.7,80.9,4.8,2.8,No,Graduate,60.3,Average
470,3.8,62.8,76.7,88.6,69.3,7.3,3.2,Yes,High School,75.6,Good
471,4.4,81.5,87.9,82.1,85.9,4.7,3.4,No,High School,69.6,Average
472,1.0,71.8,60.9,39.7,100.0,6.9,3.4,Yes,High School,63.6,Average
473,2.0,90.1,68.0,82.9,61.8,5.4,3.6,No,Graduate,65.1,Average
474,7.7,72.2,70.2,77.3,54.0,9.4,1.9,Yes,High School,82.3,Good
475,8.3,74.6,58.2,74.8,75.9,8.1,2.4,No,High School,74.1,Average
476,4.5,57.3,79.7,70.3,81.4,7.1,1.6,Yes,Graduate,76.0,Good
477,6.2,74.6,68.2,88.5,69.0,8.5,5.0,Yes,Postgraduate,70.9,Average
478,5.6,50.9,76.3,86.4,90.9,6.0,0.5,Yes,Graduate,78.6,Good
479,10.0,61.0,56.7,65.7,54.6,7.7,5.2,Yes,Graduate,79.3,Good
480,7.2,89.1,63.4,79.9,81.0,7.2,5.6,No,High School,81.3,Good
481,4.7,89.4,80.8,63.3,64.1,7.3,3.0,Yes,High School,74.3,Average
482,3.1,85.1,64.4,58.4,94.4,8.5,0.5,Yes,Graduate,69.8,Average
483,1.8,68.4,95.9,67.5,97.9,7.9,3.0,No,High School,77.1,Good
484,5.4,79.4,64.0,85.3,62.0,7.3,3.4,Yes,Graduate,73.0,Average
485,3.5,80.0,73.4,86.4,64.9,5.0,2.0,No,Graduate,56.2,Needs Improvement
486,2.2,66.1,84.0,81.2,83.2,5.8,2.7,No,Graduate,72.3,Average
487,3.7,98.0,48.7,83.7,67.0,6.9,5.8,Yes,High School,64.9,Average
488,2.8,90.5,43.6,81.2,71.4,7.1,4.5,No,High School,66.7,Average
489,8.4,77.3,47.1,67.3,72.3,5.6,2.1,Yes,High School,68.9,Average
490,6.8,80.3,88.9,80.2,47.0,9.9,1.1,Yes,High School,68.3,Average
491,5.0,82.5,61.7,84.6,71.8,8.8,3.0,Yes,High School,77.1,Good
492,8.0,55.5,100.0,84.1,63.0,7.7,3.2,Yes,Graduate,87.2,Good
493,5.2,77.0,61.5,89.3,65.6,7.1,4.2,No,High School,61.0,Average
494,3.3,71.8,72.8,83.5,90.8,6.7,2.7,No,Postgraduate,67.3,Average
495,8.0,68.0,93.1,79.2,55.7,5.9,4.3,Yes,High School,94.1,Excellent
496,6.1,76.6,100.0,87.8,82.6,7.1,6.4,Yes,Graduate,82.8,Good
497,2.9,100.0,100.0,74.7,68.4,7.3,4.7,No,High School,78.4,Good
498,4.6,87.7,88.1,64.4,68.4,5.5,3.4,Yes,Graduate,70.7,Average
499,3.2,73.1,85.4,73.0,82.3,7.4,3.2,Yes,High School,64.0,Average
500,2.2,86.9,78.9,66.1,76.4,6.8,3.0,Yes,Postgraduate,68.6,Average
